t,x,y,mass,phi_center
0.0,80.90436889687224,80.25838468169466,437,4.476609706878662
0.03,80.9063946720279,80.25897957119264,437,4.360239505767822
0.06,80.9083533935722,80.25955453684786,437,4.247302532196045
0.09,80.91025845252837,80.26011449145444,437,4.137689113616943
0.12,80.91210704736847,80.26066181619248,437,4.0320000648498535
0.15,80.91294234083752,80.26091397606554,437,3.9848294258117676
0.18,80.91306500588892,80.26096791550492,437,3.9788753986358643
0.21,80.913103905464,80.26099225774698,437,3.9774184226989746
0.24,80.91313918713344,80.26102345025295,437,3.976987838745117
0.27,80.91315912298381,80.2610408739864,437,3.9768476486206055
0.3,80.9131795770538,80.26105774133923,437,3.976794958114624
0.33,80.91321151641478,80.26108411139165,437,3.97676944732666
0.36,80.91324362794818,80.26110838861774,437,3.976752996444702
0.39,80.91326594099829,80.26112037860811,437,3.9767401218414307
0.42,80.91330899162878,80.26115001912632,437,3.9767284393310547
0.45,80.913355859422,80.26117995580205,437,3.9767189025878906
0.48,80.91339513492115,80.26119814704914,437,3.9767093658447266
0.51,80.91346075981869,80.26123731155461,437,3.9767005443573
0.54,80.91352731265597,80.26127118417635,437,3.9766931533813477
0.5700000000000001,80.9136168933084,80.26132024408193,437,3.9766860008239746
0.6,80.91372516990512,80.26137874072828,437,3.9766788482666016
0.63,80.91384113448588,80.26143430192953,437,3.976672649383545
0.66,80.91398660346434,80.26150736800076,437,3.976667642593384
0.6900000000000001,80.91414780198848,80.26158352257704,437,3.9766628742218018
0.72,80.91434081068576,80.26167869031262,437,3.9766581058502197
0.75,80.91453931838362,80.261767514718,437,3.9766533374786377
0.78,80.91478228295112,80.26189001256417,437,3.976649045944214
0.81,80.91502984282654,80.26200845545455,437,3.9766457080841064
0.84,80.91529511691333,80.26213758240803,437,3.976642608642578
0.87,80.91556443073739,80.26226530823863,437,3.976639747619629
0.9,80.91586086497028,80.26241539035529,437,3.976637125015259
0.93,80.91616153768236,80.26256544656773,437,3.9766347408294678
0.96,80.91648117301013,80.26272974899064,437,3.9766323566436768
0.99,80.9168064618673,80.2628940991308,437,3.9766299724578857
1.02,80.91714399086604,80.26306337719183,437,3.9766275882720947
1.05,80.91750781625859,80.26324938466841,437,3.976625442504883
1.08,80.91788958594925,80.26344143163742,437,3.976623773574829
1.11,80.91830047218382,80.26364819116723,437,3.9766225814819336
1.1400000000000001,80.91872709490714,80.26385448680281,437,3.976621150970459
1.17,80.91920223668133,80.26409098824918,437,3.9766201972961426
1.2,80.91968999266615,80.26432090426154,437,3.976619243621826
1.23,80.92021233293357,80.26456531743969,437,3.9766182899475098
1.26,80.92078115664259,80.2648354540956,437,3.9766173362731934
1.29,80.92138738726909,80.26506263537647,438,3.976616621017456
1.32,80.92200784538467,80.26511271452564,438,3.9766159057617188
1.35,80.92266806384913,80.26517818435015,438,3.9766154289245605
1.3800000000000001,80.92337150127368,80.26526270447683,438,3.9766147136688232
1.41,80.92409044789665,80.26533897887187,438,3.976614236831665
1.44,80.92483108789911,80.26548530773928,439,3.976613759994507
1.47,80.92551451508969,80.26576337174677,439,3.9766135215759277
1.5,80.92623800648383,80.26606138547085,439,3.9766130447387695
1.53,80.92646826969673,80.26642578893029,458,3.9766125679016113
1.56,80.92488057827504,80.26597798300087,458,3.9766123294830322
1.59,80.92330914008596,80.26548789783888,458,3.976612091064453
1.62,80.92180628879056,80.26492084884583,463,3.976611852645874
1.6500000000000001,80.92230337510402,80.26516560187842,474,3.976611852645874
1.68,80.92290311292753,80.26527584794125,474,3.976611614227295
1.71,80.92351176315161,80.26537081859657,474,3.976611614227295
1.74,80.92417011095992,80.26548912177952,474,3.976611375808716
1.77,80.9249875545093,80.26568740964134,474,3.976611375808716
1.8,80.92591485822399,80.26598505935259,474,3.976611375808716
1.83,80.92671938431656,80.26639090209042,474,3.9766111373901367
1.86,80.92748812125248,80.2668583650269,474,3.9766111373901367
1.8900000000000001,80.92766910516178,80.26705398732443,468,3.9766111373901367
1.92,80.92758713967204,80.26732623633568,468,3.9766111373901367
1.95,80.92672131023586,80.2674904981071,468,3.9766111373901367
1.98,80.92403160849095,80.26702306065681,468,3.9766111373901367
2.0100000000000002,80.92069690819737,80.26625083965519,479,3.9766111373901367
2.04,80.91664181607324,80.26520148871242,483,3.9766111373901367
2.07,80.91362003796972,80.26436293292434,486,3.9766111373901367
2.1,80.91094975784335,80.26376560329277,486,3.9766111373901367
2.13,80.91016573016806,80.26464303608174,486,3.9766111373901367
2.16,80.91412331084237,80.26717069706447,486,3.9766111373901367
2.19,80.91882437811316,80.2696930376357,486,3.9766111373901367
2.22,80.92319367154346,80.27204610278002,486,3.9766111373901367
2.25,80.92849459651428,80.27426068901352,479,3.9766111373901367
2.2800000000000002,80.9256532776605,80.2734653851957,468,3.9766111373901367
2.31,80.91850534665666,80.27200509201552,470,3.9766111373901367
2.34,80.91033962979836,80.27015784679493,474,3.9766111373901367
2.37,80.90240083872872,80.26856577332931,474,3.9766111373901367
2.4,80.89471583658678,80.2668325473063,479,3.9766111373901367
2.43,80.88946650947071,80.26544272931852,477,3.9766111373901367
2.46,80.88928183730388,80.2668188496148,477,3.9766111373901367
2.49,80.8891676488179,80.26798378076758,476,3.9766111373901367
2.52,80.88909060133844,80.26862168545584,475,3.9766111373901367
2.5500000000000003,80.88921692633149,80.26883878424526,475,3.9766111373901367
2.58,80.88955817835452,80.26898700997579,475,3.9766111373901367
2.61,80.8904304842821,80.26955522909674,475,3.976611375808716
2.64,80.89464806647155,80.27110904275264,475,3.976611614227295
2.67,80.90057395527158,80.27321023470404,475,3.976611614227295
2.7,80.90815636065469,80.27595356615281,475,3.976611852645874
2.73,80.91527638259277,80.27854698597096,476,3.976611852645874
2.7600000000000002,80.92008716125447,80.28066011138655,476,3.976612091064453
2.79,80.92317719598354,80.28233418301357,476,3.9766123294830322
2.82,80.92779894433407,80.28432682369309,476,3.9766123294830322
2.85,80.93327733860933,80.28634937650834,476,3.9766125679016113
2.88,80.93823008588951,80.28802356296471,476,3.9766125679016113
2.91,80.94143554022635,80.28876200137947,470,3.9766128063201904
2.94,80.94625415861908,80.28980374419369,470,3.9766130447387695
2.97,80.94662692540494,80.28907689377102,464,3.9766130447387695
3.0,80.94574749649999,80.28838759336962,464,3.9766132831573486
3.0300000000000002,80.9457565429574,80.28815218380807,464,3.9766135215759277
3.06,80.94601569904177,80.28806673182969,464,3.976613759994507
3.09,80.94738497663214,80.28789789287374,458,3.976613759994507
3.12,80.9517617265191,80.28877749086149,458,3.976613998413086
3.15,80.95607919970648,80.28980058278309,458,3.976614236831665
3.18,80.96050005150059,80.29093493074006,458,3.976614236831665
3.21,80.96553869519752,80.29229205669759,458,3.976614475250244
3.24,80.97204494295215,80.29410154946049,458,3.9766147136688232
3.27,80.9792541558696,80.29607222283464,458,3.9766147136688232
3.3000000000000003,80.98636358267798,80.29800730034023,458,3.9766149520874023
3.33,80.99328824377157,80.29993979230744,459,3.9766149520874023
3.36,81.00005337390323,80.30191489738213,459,3.9766151905059814
3.39,81.00677322661927,80.30384879905934,457,3.9766154289245605
3.42,81.01105198867674,80.3045995186907,453,3.9766154289245605
3.45,81.01441057013774,80.30523981634765,453,3.9766156673431396
3.48,81.01494777410726,80.30488478511222,453,3.9766159057617188
3.5100000000000002,81.01407739873652,80.30424791025992,453,3.9766159057617188
3.54,81.01318823111188,80.30376442419055,458,3.976616144180298
3.5700000000000003,81.01390889907914,80.30386562313495,462,3.976616382598877
3.6,81.01675928565673,80.30426564690588,462,3.976616382598877
3.63,81.02036521209251,80.3051216126967,460,3.976616621017456
3.66,81.02215077997788,80.30485960094117,454,3.976616859436035
3.69,81.02445676519199,80.3056415531429,449,3.976616859436035
3.72,81.02818680075998,80.30685522155663,449,3.9766170978546143
3.75,81.03184749162222,80.30803879828183,449,3.9766173362731934
3.7800000000000002,81.03546668258015,80.3092220075836,449,3.9766173362731934
3.81,81.03859679918367,80.31016255895906,445,3.9766175746917725
3.84,81.04243246810157,80.3120910900014,444,3.9766175746917725
3.87,81.04634605680499,80.31427477798125,448,3.9766178131103516
3.9,81.04938424685885,80.31620771226144,448,3.9766180515289307
3.93,81.05051408652193,80.31762014157181,448,3.9766180515289307
3.96,81.0499253236683,80.3179769158377,445,3.9766182899475098
3.99,81.04725038618845,80.31768744919661,442,3.976618528366089
4.0200000000000005,81.04473814806434,80.3175547718309,441,3.976618528366089
4.05,81.04565240775344,80.31792682893918,437,3.976618766784668
4.08,81.04762953327895,80.31848832477942,445,3.976619005203247
4.11,81.04795922906409,80.3183796553091,447,3.976619005203247
4.14,81.0478895343427,80.31796671223746,453,3.976619243621826
4.17,81.04742328312166,80.31727345093744,457,3.9766194820404053
4.2,81.0483917612836,80.31704496531876,457,3.9766194820404053
4.23,81.0553846695106,80.31946895708172,454,3.9766197204589844
4.26,81.06644128582197,80.32405489711307,454,3.9766199588775635
4.29,81.07920426429669,80.32890619684174,454,3.9766199588775635
4.32,81.0920440042472,80.33372656326644,454,3.9766201972961426
4.3500000000000005,81.10503611159639,80.3384402716445,461,3.9766204357147217
4.38,81.11756811662435,80.34218161954774,466,3.9766204357147217
4.41,81.1272477973167,80.34533910223512,468,3.976620674133301
4.44,81.13927499487264,80.34984560051424,470,3.976620674133301
4.47,81.15141636601304,80.35429075899904,471,3.97662091255188
4.5,81.16276118636203,80.35871467793564,476,3.976621150970459
4.53,81.17326706484798,80.36347201614993,476,3.976621150970459
4.5600000000000005,81.18404365111198,80.36839135422541,476,3.976621389389038
4.59,81.19606149499552,80.37407718534595,477,3.976621627807617
4.62,81.2081019911583,80.38016568337984,477,3.976621627807617
4.65,81.21842296954333,80.38569238958065,488,3.9766218662261963
4.68,81.22137268441462,80.38853681453345,485,3.9766221046447754
4.71,81.22244451125111,80.39074726988146,485,3.9766221046447754
4.74,81.22490488390696,80.39262828616667,484,3.9766223430633545
4.7700000000000005,81.2278156525487,80.39434147796872,482,3.9766225814819336
4.8,81.24010639988602,80.39954430099218,480,3.9766225814819336
4.83,81.25307097961192,80.40590569773742,485,3.9766228199005127
4.86,81.26684075986779,80.4130736530372,490,3.9766228199005127
4.89,81.27832848205446,80.4189572019421,485,3.976623058319092
4.92,81.28085483266831,80.42296576866481,484,3.976623296737671
4.95,81.28913162216196,80.42750220905242,473,3.976623296737671
4.98,81.2962527919921,80.43404077318445,467,3.97662353515625
5.01,81.30401273157574,80.43899877982639,460,3.976623773574829
5.04,81.30977734082597,80.44246040819795,460,3.976623773574829
5.07,81.31342222560164,80.44545371664579,460,3.976624011993408
5.1000000000000005,81.31692236417666,80.44833724072646,456,3.9766242504119873
5.13,81.3174635748528,80.45047431857003,455,3.9766242504119873
5.16,81.32023182701593,80.45408185867339,454,3.9766244888305664
5.19,81.3227468956011,80.4566963807333,460,3.9766247272491455
5.22,81.32639643984209,80.45898634588079,459,3.9766247272491455
5.25,81.32932933734224,80.46010194419236,456,3.9766249656677246
5.28,81.32368690701163,80.4574481533332,453,3.9766249656677246
5.3100000000000005,81.31413885091604,80.45397687138257,461,3.9766252040863037
5.34,81.30216681208329,80.44995700580846,461,3.976625442504883
5.37,81.29057465800237,80.44617656825963,461,3.976625442504883
5.4,81.27953691077066,80.44226410987432,459,3.976625680923462
5.43,81.2729489754445,80.43933626415007,461,3.976625919342041
5.46,81.26867198341013,80.43693732949126,462,3.976625919342041
5.49,81.263933042383,80.43464770589465,460,3.97662615776062
5.5200000000000005,81.25981144442139,80.43280955596278,466,3.976626396179199
5.55,81.2589202987832,80.4317514264868,466,3.976626396179199
5.58,81.26140979703982,80.43100164303465,466,3.9766266345977783
5.61,81.2637860663702,80.43000784416228,465,3.9766266345977783
