eps,h,A,phi_max,phi_min,phi_mean,regime_code
1.5,0.515,8591071407.532179,4010873934.8185782,-4580197472.7136,-19837363.47773853,-1
1.5,0.53,8372035434.558556,3908326357.8029737,-4463709076.755582,-19339864.22274568,-1
1.5,0.533,8329569143.856345,3884621892.7086935,-4444947251.147652,-19305749.034119334,-1
1.5,0.54,8226622507.396908,3827722501.000264,-4398900006.396644,-19213848.546528053,-1
1.5,0.545,8163503393.62846,3791888051.8182435,-4371615341.810217,-19173013.573209427,-1
1.5,0.555,8189793912.996233,3859492571.5395465,-4330301341.456686,-18266753.653282426,-1
2.0,0.515,23.790735297682012,12.111217963927286,-11.679517333754724,0.3260672370918617,2
2.0,0.53,22.85627952285374,11.868092835649877,-10.98818668720386,0.4357195220491568,2
2.0,0.533,23.601655958174245,12.250657472731891,-11.350998485442354,0.4227608558532041,2
2.0,0.54,23.265803043719227,12.047966014605056,-11.217837029114172,0.42988287175128675,2
2.0,0.545,22.24965909280892,11.437097372810332,-10.812561719998586,0.4528537211427203,2
2.0,0.555,22.67722193624637,11.769313290805464,-10.907908645440905,0.40332915104368017,2
2.5,0.515,15.321441347045841,8.033593294165088,-7.287848052880753,0.408592890238713,2
2.5,0.53,13.808136245631676,7.305642653079121,-6.502493592552555,0.4127632523772628,2
2.5,0.533,13.876390380663672,7.268869438713975,-6.607520941949696,0.39040525496217077,2
2.5,0.54,14.245632076168015,7.4411214533452315,-6.804510622822783,0.4040618719234762,2
2.5,0.545,14.15588269010844,7.409848773009347,-6.746033917099092,0.3789332253139367,2
2.5,0.555,13.483092169829105,7.041680939756047,-6.441411230073058,0.4030600894624428,2
2.8,0.515,10.471890140387575,5.68955871567252,-4.782331424715054,0.4248705930149904,2
2.8,0.53,10.44224625873988,5.685184079406058,-4.757062179333822,0.43992369099978385,2
2.8,0.533,11.10053574152937,6.003731798176062,-5.096803943353309,0.4500521307102325,2
2.8,0.54,10.389597030830387,5.660115691311691,-4.729481339518696,0.4368776725921585,2
2.8,0.545,11.391189409384424,6.077372631572967,-5.313816777811456,0.3809973635168965,2
2.8,0.555,11.043263931182445,5.9354760138747125,-5.107787917307733,0.47265946153731586,2
3.0,0.515,8.774963824096075,4.73533287499642,-4.039630949099655,0.42155865527208736,2
3.0,0.53,7.681273990363271,4.030290116551812,-3.65098387381146,0.45082349310015385,2
3.0,0.533,7.790535193244878,4.038177774351459,-3.75235741889342,0.43676495940375387,2
3.0,0.54,7.6585684928562365,4.0290784463393745,-3.629490046516862,0.45001041915674433,2
3.0,0.545,7.642673785636932,4.027991862905634,-3.6146819227312976,0.45391103005669037,2
3.0,0.555,7.6174940828197055,4.0280753598380565,-3.5894187229816494,0.46670505876978646,2
3.2,0.515,7.468543290077006,4.01300817069891,-3.455535119378096,0.5081624702614626,2
3.2,0.53,7.42378793731814,4.011969601768455,-3.4118183355496856,0.5232356484063911,2
3.2,0.533,7.414546009163127,4.012044057425045,-3.402501951738082,0.5263033993593932,2
3.2,0.54,7.392913656481683,4.011606206711785,-3.3813074497698987,0.5334315553936451,2
