d0,df,outcome,A_center
8,14,resolved,10.44369017099456
10,8,resolved,8.073691356720456
12,22,separated,8.846184114116838
14,12,resolved,9.517013862154016
16,10,resolved,10.237619941692406
18,8,unresolved,0.4187283181774525
20,8,unresolved,0.1695344303667261
