D0:
step,t,mass,phi_center,cx,cy,phimax,psimaxabs,vmaxabs
0,0.0,797,3.976609706878662,159.9999625460301,159.9999625460301,3.976609706878662,0.0,0.0
10,0.00375,797,3.976609706878662,159.9999625460301,159.9999625460301,3.976609706878662,0.00024774851044639945,0.11991800367832184
20,0.0075,797,3.976609706878662,159.99998674229715,159.99998674229715,3.976609706878662,0.0009424163727089763,0.23849371075630188
30,0.01125,797,3.976609706878662,159.9999960188232,159.9999960188232,3.976609706878662,0.002079000696539879,0.3557419180870056
40,0.015,797,3.976609706878662,159.9999811763753,159.9999811763753,3.976609706878662,0.003652553539723158,0.471677303314209
50,0.01875,797,3.976609706878662,159.9999831862838,159.9999831862838,3.976609706878662,0.0056581818498671055,0.5863142013549805
60,0.0225,797,3.976609706878662,159.99997800687527,159.99997800687527,3.976609706878662,0.008091045543551445,0.6996668577194214
70,0.02625,797,3.976609706878662,159.99998635574906,159.99998635574906,3.976609706878662,0.010946356691420078,0.8117491602897644
80,0.03,797,3.976609706878662,159.99998535077737,159.99998535077737,3.976609706878662,0.014219382777810097,0.9225748777389526
90,0.03375,797,3.976609706878662,159.99998372736357,159.99998372736357,3.976609706878662,0.01790543459355831,1.0321574211120605
100,0.0375,797,3.976609706878662,159.9999856599621,159.9999856599621,3.976609706878662,0.02199988253414631,1.140510082244873
110,0.04125,797,3.976609706878662,159.9999916124177,159.9999916124177,3.976609706878662,0.026498135179281235,1.2476462125778198
120,0.045,797,3.976609706878662,159.99999099396285,159.99999099396285,3.976609706878662,0.03139566257596016,1.3535783290863037
130,0.04875,797,3.976609706878662,159.99998442300458,159.99998442300458,3.976609706878662,0.03668797016143799,1.4583196640014648
140,0.0525,797,3.976609706878662,159.99998573716104,159.99998573716104,3.976609706878662,0.04237062484025955,1.5618823766708374
150,0.05625,797,3.976609706878662,159.99998674209792,159.99998674209792,3.976609706878662,0.04843923822045326,1.6642788648605347
160,0.06,797,3.976609706878662,159.99998032568482,159.99998032568482,3.976609706878662,0.05488944798707962,1.7655216455459595
170,0.06375,797,3.976609706878662,159.99998171713418,159.99998171713418,3.976609706878662,0.061716970056295395,1.8656222820281982
180,0.0675,797,3.976609706878662,159.99998929308578,159.99998929308578,3.976609706878662,0.06891752779483795,1.9645930528640747
190,0.07125000000000001,797,3.976609706878662,159.99998581425584,159.99998581425584,3.976609706878662,0.07648692280054092,2.062445640563965
200,0.075,797,3.976609706878662,159.99998264462462,159.99998264462462,3.976609706878662,0.08442098647356033,2.159191846847534
210,0.07875,797,3.976609706878662,159.99999107102877,159.99999107102877,3.976609706878662,0.09271557629108429,2.2548422813415527
220,0.0825,797,3.976609706878662,159.99998913830467,159.99998913830467,3.976609706878662,0.10136660933494568,2.3494086265563965
230,0.08625000000000001,797,3.976609706878662,159.99998504094282,159.99998504094282,3.976609706878662,0.11037003993988037,2.442902088165283
240,0.09,797,3.976609706878662,159.99997483619484,159.99997483619484,3.976609706878662,0.11972188949584961,2.5353331565856934
250,0.09375,797,3.976609706878662,159.99998001573877,159.99998001573877,3.976609706878662,0.12941819429397583,2.6267127990722656
260,0.0975,797,3.976609706878662,159.99998295337213,159.99998295337213,3.976609706878662,0.13945502042770386,2.7170522212982178
270,0.10125,797,3.976609706878662,159.99998163901628,159.99998163901628,3.976609706878662,0.1498284786939621,2.806360960006714
280,0.105,797,3.976609706878662,159.99998078849876,159.99998078849876,3.976609706878662,0.16053475439548492,2.8946502208709717
290,0.10875,797,3.976609706878662,159.99997653631112,159.99997653631112,3.976609706878662,0.17157001793384552,2.9819295406341553
300,0.1125,797,3.976609706878662,159.99998828740635,159.99998828740635,3.976609706878662,0.18293049931526184,3.068209171295166
310,0.11625,797,3.976609706878662,159.99999060666792,159.99999060666792,3.976609706878662,0.1946125030517578,3.153499126434326
320,0.12,797,3.976609706878662,159.99998558132688,159.99998558132688,3.976609706878662,0.20661230385303497,3.2378087043762207
330,0.12375,797,3.976609706878662,159.99998581315822,159.99998581315822,3.976609706878662,0.21892628073692322,3.321148157119751
340,0.1275,797,3.976609706878662,159.99997815905564,159.99997815905564,3.976609706878662,0.23155079782009125,3.403527021408081
350,0.13125,797,3.976609706878662,159.99997839082246,159.99997839082246,3.976609706878662,0.24448226392269135,3.4849541187286377
360,0.135,797,3.976609706878662,159.99998194710278,159.99998194710278,3.976609706878662,0.25771716237068176,3.565438747406006
370,0.13875,797,3.976609706878662,159.99998542612255,159.99998542612255,3.976609706878662,0.27125194668769836,3.6449906826019287
380,0.14250000000000002,797,3.976609706878662,159.99998728156928,159.99998728156928,3.976609706878662,0.285083144903183,3.7236177921295166
390,0.14625,797,3.976609706878662,159.99998480732722,159.99998480732722,3.976609706878662,0.29920727014541626,3.8013291358947754
400,0.15,797,3.976609706878662,159.99998225571696,159.99998225571696,3.976609706878662,0.313620924949646,3.878133773803711
410,0.15375,797,3.976609706878662,159.99998782243034,159.99998782243034,3.976609706878662,0.3283207416534424,3.9540393352508545
420,0.1575,797,3.976609706878662,159.99998542542662,159.99998542542662,3.976609706878662,0.3433033525943756,4.029054164886475
430,0.16125,797,3.976609706878662,159.99998689434312,159.99998689434312,3.976609706878662,0.35856544971466064,4.103187084197998
440,0.165,797,3.976609706878662,159.99998326014395,159.99998326014395,3.976609706878662,0.37410372495651245,4.176446914672852
450,0.16875,797,3.976609706878662,159.99998372388282,159.99998372388282,3.976609706878662,0.38991498947143555,4.24884033203125
460,0.17250000000000001,797,3.976609706878662,159.99997939365477,159.99997939365477,3.976609706878662,0.4059959352016449,4.320375442504883
470,0.17625,797,3.976609706878662,159.9999857338966,159.9999857338966,3.976609706878662,0.4223434031009674,4.3910603523254395
480,0.18,797,3.976609706878662,159.99998217681565,159.99998217681565,3.976609706878662,0.4389542043209076,4.460901737213135
490,0.18375,797,3.976609706878662,159.99998356843741,159.99998356843741,3.976609706878662,0.45582517981529236,4.529907703399658
500,0.1875,797,3.976609706878662,159.99998658393483,159.99998658393483,3.976609706878662,0.4729532301425934,4.598084926605225
510,0.19125,797,3.976609706878662,159.9999931565533,159.9999931565533,3.976609706878662,0.49033528566360474,4.665441513061523
520,0.195,797,3.976609706878662,159.99998163456146,159.99998163456146,3.976609706878662,0.5079681873321533,4.7319817543029785
530,0.19875,797,3.976609706878662,159.99997838646576,159.99997838646576,3.976609706878662,0.525848925113678,4.797715663909912
540,0.2025,797,3.976609706878662,159.9999884390986,159.9999884390986,3.976609706878662,0.5439746379852295,4.8626484870910645
550,0.20625000000000002,797,3.976609706878662,159.99998356702747,159.99998356702747,3.976609706878662,0.5623421669006348,4.92678689956665
560,0.21,797,3.976609706878662,159.99999238271232,159.99999238271232,3.976609706878662,0.5809485912322998,4.990137577056885
570,0.21375,797,3.976609706878662,159.99999021723158,159.99999021723158,3.976609706878662,0.5997909307479858,5.052705764770508
580,0.2175,797,3.976609706878662,159.99998085947766,159.99998085947766,3.976609706878662,0.6188663244247437,5.114498138427734
590,0.22125,797,3.976609706878662,159.99998635005517,159.99998635005517,3.976609706878662,0.6381717920303345,5.175519943237305
600,0.225,797,3.976609706878662,159.99998457103104,159.99998457103104,3.976609706878662,0.6577045917510986,5.235777854919434
610,0.22875,797,3.976609706878662,159.9999805490841,159.9999805490841,3.976609706878662,0.6774616837501526,5.295276641845703
620,0.2325,797,3.976609706878662,159.9999864266345,159.9999864266345,3.976609706878662,0.6974402666091919,5.354022026062012
630,0.23625000000000002,797,3.976609706878662,159.99998495685549,159.99998495685549,3.976609706878662,0.7176377177238464,5.4120192527771
640,0.24,797,3.976609706878662,159.9999830229427,159.9999830229427,3.976609706878662,0.7380511164665222,5.469273090362549
650,0.24375,797,3.976609706878662,159.99998449215576,159.99998449215576,3.976609706878662,0.7586776614189148,5.5257887840271
660,0.2475,797,3.976609706878662,159.99998085648355,159.99998085648355,3.976609706878662,0.7795145511627197,5.581570625305176
