eps,A,status
2.0,11.786498069763184,breathing
2.5,5.7946226596832275,breathing
2.8,5.00662636756897,breathing
3.0,4.784078598022461,breathing
3.2,5.256042242050171,breathing
3.5,4.261528253555298,breathing
4.0,0.009995713829994202,collapse_or_nonbreathing
4.5,0.009278759360313416,collapse_or_nonbreathing
5.0,0.008675754070281982,collapse_or_nonbreathing
6.0,0.007985234260559082,collapse_or_nonbreathing
