t,x,y,mass,phi_center
0.0,31.99999946832629,31.99999946832629,975.7842407226562,0.5329999923706055
0.01,31.999996309560565,31.999996309560565,975.78466796875,0.5330033898353577
0.02,31.999997967132344,31.999997967132344,975.785400390625,0.533017098903656
0.03,31.999999186853447,31.999999186853447,975.7860107421875,0.5330448150634766
0.04,31.99999932759052,31.99999932759052,975.7862548828125,0.5330904722213745
0.05,31.999998717730275,31.999998717730275,975.785888671875,0.5331578850746155
0.06,32.00000042221129,32.00000042221129,975.78466796875,0.533250093460083
0.07,32.000001892136105,32.000001892136105,975.7825927734375,0.5333704352378845
0.08,31.999998936647657,31.999998936647657,975.7797241210938,0.5335221290588379
0.09,31.999999609060072,31.999999609060072,975.7758178710938,0.5337080955505371
0.1,32.000000422217205,32.000000422217205,975.77099609375,0.5339308381080627
0.11,32.000001876531954,32.000001876531954,975.7652587890625,0.5341930389404297
0.12,32.00000197037186,32.00000197037186,975.7586669921875,0.5344972014427185
0.13,31.999999249376465,31.999999249376465,975.7512817382812,0.5348457098007202
0.14,32.000000453505606,32.000000453505606,975.742919921875,0.5352407097816467
0.15,32.00000021429318,32.00000021038362,975.7337646484375,0.5356841683387756
0.16,32.00000048479138,32.00000048479138,975.7237548828125,0.5361781716346741
0.17,31.999997951342923,31.999997951342923,975.7130126953125,0.5367244482040405
0.18,32.00000059427408,32.00000059427408,975.7012939453125,0.5373246669769287
0.19,32.000000563003674,32.000000563003674,975.6888427734375,0.5379804372787476
0.2,31.999999452627918,31.999999452627918,975.6756591796875,0.538693368434906
0.21,32.00000023459141,32.00000023459141,975.66162109375,0.5394647717475891
0.22,31.999999624648062,31.999999624648062,975.6468505859375,0.5402959585189819
0.23,31.999999296203885,31.999999296203885,975.6312866210938,0.5411882996559143
0.24,31.999999077229624,31.999999077229624,975.6149291992188,0.5421428680419922
0.25,31.999999765393238,31.999999765393238,975.5977783203125,0.543160617351532
0.26,32.00000062562954,32.00000062562954,975.579833984375,0.5442425608634949
0.27,31.999999655897167,31.999999655897167,975.5611572265625,0.5453896522521973
0.28,32.000001251308085,32.000001251308085,975.5416259765625,0.5466026663780212
0.29,32.00000095414224,32.00000095414224,975.5213623046875,0.5478824973106384
0.3,32.00000233066017,32.00000233066017,975.500244140625,0.549229621887207
0.31,32.00000081340298,32.00000081340298,975.4783935546875,0.5506448745727539
0.32,32.000000297211855,32.000000297211855,975.4556884765625,0.5521287322044373
0.33,32.00000039107767,32.00000039107767,975.43212890625,0.5536816716194153
0.34,32.00000009386099,32.00000009386099,975.40771484375,0.5553041696548462
0.35000000000000003,31.999998670268184,31.999998670268184,975.3824462890625,0.5569967031478882
0.36,31.999999233428092,31.999999233428092,975.356201171875,0.5587595105171204
0.37,31.999999374209587,31.999999374209587,975.3290405273438,0.5605929493904114
0.38,32.00000007822606,32.00000007822606,975.3009033203125,0.5624973177909851
0.39,32.00000017210247,32.00000017210247,975.2717895507812,0.5644726157188416
0.4,31.999999968707677,31.999999968707677,975.2416381835938,0.5665194392204285
0.41000000000000003,31.99999951495345,31.99999951495345,975.21044921875,0.568637490272522
0.42,32.00000118918582,32.00000118918582,975.1781005859375,0.5708267688751221
0.43,32.00000159606729,32.00000159606729,975.1446533203125,0.5730875730514526
0.44,32.00000062593095,32.00000062593095,975.1100463867188,0.5754199028015137
0.45,31.999999890458053,31.999999890458053,975.0741577148438,0.5778237581253052
0.46,31.999997793428058,31.999997793428058,975.0369873046875,0.5802991390228271
0.47000000000000003,31.999996995187416,31.999996995187416,974.9984130859375,0.5828460454940796
0.48,32.00000100164545,32.00000100164545,974.958251953125,0.5854642391204834
0.49,31.999999358293564,31.999999358293564,974.916748046875,0.5881535410881042
0.5,32.00000050086625,32.00000050086625,974.87353515625,0.590913712978363
0.51,31.99999851298499,31.99999851298499,974.8287353515625,0.5937446355819702
0.52,32.000001627968196,32.000001627968196,974.781982421875,0.5966460704803467
0.53,32.00000078271598,32.00000078271598,974.7334594726562,0.5996177792549133
0.54,31.999998888485752,31.999998888485752,974.6829833984375,0.6026594638824463
0.55,32.0,32.0,974.6303100585938,0.6057708263397217
0.56,32.00000051667631,32.00000051667631,974.575439453125,0.6089515686035156
0.5700000000000001,31.999999639871138,31.999999639871138,974.5182495117188,0.6122013330459595
0.58,32.00000201997704,32.00000201997704,974.45849609375,0.6155198216438293
0.59,32.00000037583369,32.00000037583369,974.396240234375,0.618906557559967
0.6,32.00000039151957,32.00000039151957,974.3311767578125,0.6223612427711487
0.61,31.999997368805182,31.999997368805182,974.2633056640625,0.6258834004402161
0.62,32.00000053254258,32.00000053254258,974.1921997070312,0.6294726133346558
0.63,31.999998997490593,31.999998997490593,974.1180419921875,0.6331285238265991
